brand,model,car_type,img_url,price,drive,hp,weight,torque,w_kg
AC Cars,427 S/C '66,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0004.jpg,423200,FR,478,1311,651,272 to ? W/Kg
AEM,S2000,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_1017.jpg,100000,FR,430,1155,495,278 to 345 W/Kg
Abarth,1500 Biposto Bertone B.A.T 1 '52,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0001.jpg,3500000,FR,72,870,,62 to 250 W/Kg
Abarth,500 '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0002.jpg,29500,FF,133,1035,180,96 to 251 W/Kg
Abarth,Grande Punto '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0003.jpg,27000,FF,153,1240,230,92 to ? W/Kg
Acura,CL 3.2 Type-S '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1008.jpg,32180,FF,260,1592,315,122 to ? W/Kg
Acura,CL 3.2 Type-S '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1009.jpg,32420,FF,260,1563,314,124 to 251 W/Kg
Acura,DN-X '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1014.jpg,750000,4WD,382,1400,,204 to 373 W/Kg
Acura,HSC '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1013.jpg,750000,MR,315,1150,,204 to ? W/Kg
Acura,INTEGRA TYPE R '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1007.jpg,25940,FF,195,1197,176,122 to 254 W/Kg
Acura,NSX '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1012.jpg,94440,MR,290,1430,304,151 to 291 W/Kg
Acura,NSX '91,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1010.jpg,80000,MR,270,1365,284,148 to 302 W/Kg
Acura,NSX CONCEPT '13,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1016.jpg,1000000,4WD,,,,? to ? W/Kg
Acura,NSX Coupe '97,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1011.jpg,89130,MR,290,1392,304,155 to ? W/Kg
Acura,NSX LM Race Car '91,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1015.jpg,205000,MR,363,1045,,259 to 312 W/Kg
Acura,RSX Type-S '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1006.jpg,24740,FF,200,1255,192,119 to ? W/Kg
Alfa Romeo,147 2.0 TWIN SPARK '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0008.jpg,30590,FF,148,1280,181,86 to ? W/Kg
Alfa Romeo,147 GTA '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0017.jpg,48040,FF,246,1360,300,135 to 278 W/Kg
Alfa Romeo,147 TI 2.0 TWIN SPARK '06,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0007.jpg,31400,FF,148,1280,180,86 to ? W/Kg
Alfa Romeo,155 2.5 V6 TI '93,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0020.jpg,1250000,4WD,414,1010,294,306 to 463 W/Kg
Alfa Romeo,156 2.5 V6 24V '98,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0012.jpg,40230,FF,187,1320,221,106 to ? W/Kg
Alfa Romeo,166 2.5 V6 24V Sportronic '98,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0009.jpg,58710,FF,187,1520,221,92 to 297 W/Kg
Alfa Romeo,8C Competizione '08,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0019.jpg,220000,FR,444,1585,480,209 to 401 W/Kg
Alfa Romeo,Brera Sky Window 3.2 JTS Q4 '06,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0015.jpg,64900,4WD,256,1750,321,109 to 322 W/Kg
Alfa Romeo,GIULIA TZ2 carrozzata da ZAGATO CN.AR750106 '65,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0018.jpg,10000000,FR,164,620,,197 to ? W/Kg
Alfa Romeo,GT 3.2 V6 24V '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0016.jpg,39010,FF,237,1347,300,131 to ? W/Kg
Alfa Romeo,GTV 3.0 V6 24V '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0014.jpg,49060,FF,217,1415,265,114 to 277 W/Kg
Alfa Romeo,Giulia Sprint GTA 1600 '65,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0010.jpg,113010,FR,113,745,143,114 to 322 W/Kg
Alfa Romeo,Giulia Sprint Speciale '63,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0006.jpg,62040,FR,110,950,131,86 to 199 W/Kg
Alfa Romeo,MiTo 1.4 T Sport '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0011.jpg,28500,FF,153,1145,201,100 to 227 W/Kg
Alfa Romeo,Spider 1600 Duetto '66,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0005.jpg,35300,FR,108,960,139,84 to 199 W/Kg
Alfa Romeo,Spider 3.0i V6 24V '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0013.jpg,51190,FF,215,1450,265,110 to 259 W/Kg
Alfa Romeo,TZ3 Stradale '11,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0021.jpg,605000,FR,582,1552,760,280 to ? W/Kg
Alpine,A110 1600S '72,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0024.jpg,100000,RR,138,715,,144 to ? W/Kg
Alpine,A110 1600S '73,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0023.jpg,60200,RR,138,715,,144 to 314 W/Kg
Alpine,A110 1600S 15th Anniversary Edition '72,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1158.jpg,200000,RR,196,715,,204 to 305 W/Kg
Alpine,A310 1600VE '73,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0022.jpg,33000,RR,123,930,148,99 to 233 W/Kg
Alpine,Vision Gran Turismo,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1361.jpg,1000000,MR,444,900,578,? to 386 W/Kg
Alpine,Vision Gran Turismo Race Mode,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1362.jpg,,MR,444,900,578,? to 386 W/Kg
Amuse,Carbon R (R34) '04,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0317.jpg,250000,FR,513,1123,511,340 to 490 W/Kg
Amuse,NISMO 380RS Super Leggera,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0316.jpg,100000,FR,381,1370,410,207 to 340 W/Kg
Amuse,S2000 GT1 '04,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0318.jpg,250000,FR,394,1180,,249 to ? W/Kg
Amuse,S2000 GT1 Turbo,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0319.jpg,250000,FR,597,1120,,398 to 430 W/Kg
Amuse,S2000 R1 '04,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0315.jpg,125000,FR,259,1120,235,172 to ? W/Kg
Amuse,S2000 Street Version '04,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0314.jpg,50000,FR,251,,225,? to ? W/Kg
Art Morrison,Corvette'60,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_1018.jpg,725000,FR,521,1437,,270 to 401 W/Kg
Aston Martin,DB7 Vantage Coupe '00,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0025.jpg,194260,FR,420,1775,542,176 to 374 W/Kg
Aston Martin,DB9 Coupe '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0027.jpg,164470,FR,450,1710,569,196 to ? W/Kg
Aston Martin,DB9 Coupe '06,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0028.jpg,181860,FR,450,1710,569,196 to 374 W/Kg
Aston Martin,DP-100 Vision Gran Turismo,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1350.jpg,1000000,4WD,800,1375,1050,433 to 455 W/Kg
Aston Martin,One-77 '11,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0031.jpg,1320000,FR,749,1630,750,343 to ? W/Kg
Aston Martin,V12 Vantage '10,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0030.jpg,217350,FR,510,1680,570,226 to 396 W/Kg
Aston Martin,V8 Vantage '99,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0029.jpg,448000,FR,550,1970,745,208 to ? W/Kg
Aston Martin,Vanquish '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0026.jpg,238750,FR,459,1835,542,187 to ? W/Kg
Audi,A2 1.4 '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0032.jpg,22400,FF,74,920,126,60 to 242 W/Kg
Audi,A3 3.2 quattro '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0037.jpg,42490,4WD,246,1495,320,123 to 269 W/Kg
Audi,A4 Touring Car '04,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0052.jpg,1000000,FR,454,1080,500,313 to ? W/Kg
Audi,Audi TT-R '02,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0053.jpg,1000000,FR,463,,510,? to ? W/Kg
Audi,Auto Union V16 Type C Streamline '37,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0060.jpg,500000,MR,513,1000,,382 to 555 W/Kg
Audi,Le Mans quattro '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0054.jpg,1250000,4WD,601,1530,750,293 to ? W/Kg
Audi,Nuvolari quattro '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0051.jpg,1250000,4WD,592,,750,? to ? W/Kg
Audi,Pikes Peak quattro '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0045.jpg,1250000,4WD,500,,630,? to ? W/Kg
Audi,R10 TDI '06,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0064.jpg,1980000,MR,650,925,1100,524 to 1010 W/Kg
Audi,R10 TDI Stealth Model,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0065.jpg,2400000,MR,665,875,1176,567 to 1067 W/Kg
Audi,R18 TDI (Audi Sport Team Joest) '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0061.jpg,2000000,MR,532,900,900,441 to 697 W/Kg
Audi,R18 TDI 15th Anniversary Edition '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1161.jpg,5000000,MR,552,900,,458 to 693 W/Kg
Audi,R18 TDI Prototype '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0062.jpg,2000000,MR,517,900,900,428 to 663 W/Kg
Audi,R8 (Audi PlayStation Team ORECA) '05,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0066.jpg,1900000,MR,580,950,784,455 to ? W/Kg
Audi,R8 4.2 FSI R tronic '07,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0046.jpg,166700,4WD,414,1560,430,198 to ? W/Kg
Audi,R8 5.2 FSI quattro '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0049.jpg,199400,4WD,518,1620,530,238 to 656 W/Kg
